row,id,corp_no,factory_cd,machine,jig_no,voltage,e_current,gas,wire,prod_qty,hit_point,terms,error1,error2,error3,weldtime,tip_change,start_point,mes_trans_ok,mes_trans_time,bigo,starttime,workings_cd,item_no,input_lot,lot_no
161,353167316,100,200,co2#1,1,18.2,211.3,14.5,0,0,1,1,,,-,0,0,0,N,,,14:54.1,,,,
162,353167318,100,200,co2#1,1,18.2,211.3,14.5,0,0,1,1,,,-,0,0,0,N,,,14:54.1,,,,
163,353167323,100,200,co2#1,1,17.6,213.1,14.5,0,0,1,1,,,-,0,0,0,N,,,14:54.6,,,,
164,353167327,100,200,co2#1,1,17.7,222.5,14.4,0,0,1,1,,,-,0,0,0,N,,,14:55.2,,,,
165,353167333,100,200,co2#1,1,17.7,202.2,14.4,0,0,1,1,,,-,0,0,0,N,,,14:55.7,,,,
166,353167340,100,200,co2#1,1,17.6,163.3,14.4,0,0,1,1,,,-,0,0,0,N,,,14:56.2,,,,
167,353167368,100,200,co2#1,1,26.3,243.3,14.7,0,0,1,1,,,-,0,0,0,N,,,14:58.3,,,,
168,353167375,100,200,co2#1,1,26.3,243.3,14.7,0,0,1,1,,,-,0,0,0,N,,,14:58.8,,,,
169,353167376,100,200,co2#1,1,26.3,243.3,14.7,0,0,1,1,,,-,0,0,0,N,,,14:58.8,,,,
170,353167389,100,200,co2#1,1,18.4,241.4,14.5,0,0,1,1,,,-,0,0,0,N,,,14:59.8,,,,
171,353167395,100,200,co2#1,1,17.5,249.4,14.4,0,0,1,1,,,-,0,0,0,N,,,15:00.3,,,,
172,353167401,100,200,co2#1,1,17.7,245.8,14.4,0,0,1,1,,,-,0,0,0,N,,,15:00.8,,,,
173,353167402,100,200,co2#1,1,17.7,246.2,14.4,0,0,1,1,,,-,0,0,0,N,,,15:00.9,,,,
174,353167408,100,200,co2#1,1,17.7,249.4,14.4,0,0,1,1,,,-,0,0,0,N,,,15:01.4,,,,
175,353167415,100,200,co2#1,1,17.6,251.6,14.4,0,0,1,1,,,-,0,0,0,N,,,15:01.9,,,,
176,353167421,100,200,co2#1,1,17.4,250.5,14.4,0,0,1,1,,,-,0,0,0,N,,,15:02.4,,,,
177,353167427,100,200,co2#1,1,17.3,259.3,14.4,0,0,1,1,,,-,0,0,0,N,,,15:02.9,,,,
178,353167428,100,200,co2#1,1,15.7,256,14.4,0,0,1,1,,,-,0,0,0,N,,,15:02.9,,,,
179,353167433,100,200,co2#1,1,15.7,256,14.4,0,0,1,1,,,-,0,0,0,N,,,15:03.4,,,,
180,353167439,100,200,co2#1,1,15.7,256,14.4,0,0,1,1,,,-,0,0,0,N,,,15:04.0,,,,
181,353167453,100,200,co2#1,1,18.4,252.7,14.4,0,0,1,1,,,-,0,0,0,N,,,15:05.0,,,,
182,353167454,100,200,co2#1,1,17.9,252.4,14.4,0,0,1,1,,,-,0,0,0,N,,,15:05.0,,,,
183,353167476,100,200,co2#1,1,17.7,252.7,14.4,0,0,1,1,,,-,0,0,0,N,,,15:06.6,,,,
184,353167482,100,200,co2#1,1,17.7,252.7,14.4,0,0,1,1,,,-,0,0,0,N,,,15:07.1,,,,
185,353167483,100,200,co2#1,1,18,262.5,14.4,0,0,1,1,,,-,0,0,0,N,,,15:07.1,,,,
186,353167490,100,200,co2#1,1,17.6,254.5,14.4,0,0,1,1,,,-,0,0,0,N,,,15:07.6,,,,
187,353167496,100,200,co2#1,1,17.6,252,14.4,0,0,1,1,,,-,0,0,0,N,,,15:08.1,,,,
188,353167503,100,200,co2#1,1,17.6,255.6,14.4,0,0,1,1,,,-,0,0,0,N,,,15:08.6,,,,
189,353167543,100,200,co2#1,1,8.4,123.6,13.1,0,0,0,0,,,-,0,0,0,N,,,15:13.2,,,,
190,353167544,100,200,co2#1,1,23.4,201.8,14.5,0,0,1,1,,,-,0,0,0,N,,,15:13.3,,,,
191,353167554,100,200,co2#1,1,23.4,201.8,14.5,0,0,1,1,,,-,0,0,0,N,,,15:13.8,,,,
192,353167562,100,200,co2#1,1,23.4,201.8,14.5,0,0,1,1,,,-,0,0,0,N,,,15:14.3,,,,
193,353167577,100,200,co2#1,1,65.7,153.4,14.5,0,0,1,1,,,-,0,0,0,N,,,15:15.3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
195,353167603,100,200,co2#1,1,33.4,225.1,14.7,0,0,1,1,,,-,0,0,0,N,,,15:17.4,,,,
196,353167609,100,200,co2#1,1,17.4,206.5,14.7,0,0,1,1,,,-,0,0,0,N,,,15:17.9,,,,
197,353167615,100,200,co2#1,1,17.4,206.5,14.7,0,0,1,1,,,-,0,0,0,N,,,15:18.4,,,,
198,353167620,100,200,co2#1,1,17.4,211.6,14.5,0,0,1,1,,,-,0,0,0,N,,,15:18.9,,,,
199,353167626,100,200,co2#1,1,17.3,234.2,14.5,0,0,1,1,,,-,0,0,0,N,,,15:19.5,,,,
200,353167633,100,200,co2#1,1,17.8,210.9,14.4,0,0,1,1,,,-,0,0,0,N,,,15:20.0,,,,
201,353167634,100,200,co2#1,1,18.4,175.3,14.4,0,0,1,1,,,-,0,0,0,N,,,15:20.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
203,353167657,100,200,co2#1,1,42.7,139.3,14.4,0,0,1,1,,,-,0,0,0,N,,,15:22.1,,,,
204,353167658,100,200,co2#1,1,21.4,239.6,14.5,0,0,1,1,,,-,0,0,0,N,,,15:22.1,,,,
205,353167666,100,200,co2#1,1,21.4,239.6,14.5,0,0,1,1,,,-,0,0,0,N,,,15:22.6,,,,
